venue_type,venue_segment
Accessories Store,Store
Adult Boutique,Store
Airport Lounge,Restaurant/Bar
American Restaurant,Restaurant/Bar
Arepa Restaurant,Restaurant/Bar
Art Gallery,Services/Place
Arts & Crafts Store,Store
Asian Restaurant,Restaurant/Bar
Auto Workshop,Store
BBQ Joint,Restaurant/Bar
Bakery,Store
Bank,Services/Place
Bar,Restaurant/Bar
Baseball Field,Services/Place
Beer Bar,Restaurant/Bar
Beer Store,Store
Belgian Restaurant,Restaurant/Bar
Bike Rental / Bike Share,Store
Bike Shop,Store
Bistro,Restaurant/Bar
Boat or Ferry,Services/Place
Bookstore,Store
Boutique,Store
Breakfast Spot,Restaurant/Bar
Brewery,Restaurant/Bar
Bubble Tea Shop,Restaurant/Bar
Building,Services/Place
Burger Joint,Restaurant/Bar
Burrito Place,Restaurant/Bar
Bus Stop,Services/Place
Business Service,Services/Place
Café,Restaurant/Bar
Candy Store,Store
Caribbean Restaurant,Restaurant/Bar
Cheese Shop,Restaurant/Bar
Chinese Restaurant,Restaurant/Bar
Chocolate Shop,Store
Clothing Store,Store
Cocktail Bar,Restaurant/Bar
Coffee Shop,Restaurant/Bar
College Gym,Services/Place
College Rec Center,Services/Place
College Theater,Services/Place
Colombian Restaurant,Restaurant/Bar
Comfort Food Restaurant,Restaurant/Bar
Comic Shop,Store
Concert Hall,Services/Place
Convenience Store,Store
Cosmetics Shop,Store
Creperie,Restaurant/Bar
Cuban Restaurant,Restaurant/Bar
Cupcake Shop,Restaurant/Bar
Dance Studio,Services/Place
Deli / Bodega,Store
Department Store,Store
Dessert Shop,Restaurant/Bar
Dim Sum Restaurant,Restaurant/Bar
Diner,Restaurant/Bar
Discount Store,Store
Distribution Center,Store
Dog Run,Services/Place
Dumpling Restaurant,Restaurant/Bar
Electronics Store,Store
Escape Room,Services/Place
Ethiopian Restaurant,Restaurant/Bar
Event Space,Services/Place
Falafel Restaurant,Restaurant/Bar
Farmers Market,Store
Fast Food Restaurant,Restaurant/Bar
Field,Services/Place
Fish & Chips Shop,Restaurant/Bar
Fish Market,Store
Flower Shop,Store
Food Court,Restaurant/Bar
Food Truck,Restaurant/Bar
Fountain,Services/Place
French Restaurant,Restaurant/Bar
Fried Chicken Joint,Restaurant/Bar
Fruit & Vegetable Store,Store
Furniture / Home Store,Store
Garden,Services/Place
Gas Station,Services/Place
Gastropub,Restaurant/Bar
Gay Bar,Restaurant/Bar
General Entertainment,Services/Place
General Travel,Services/Place
Gift Shop,Store
Gluten-free Restaurant,Restaurant/Bar
Golf Course,Services/Place
Gourmet Shop,Restaurant/Bar
Greek Restaurant,Restaurant/Bar
Grocery Store,Store
Gym,Services/Place
Gym / Fitness Center,Services/Place
Hakka Restaurant,Restaurant/Bar
Hardware Store,Store
Health & Beauty Service,Services/Place
History Museum,Services/Place
Home Service,Services/Place
Hotel,Services/Place
Hotel Bar,Restaurant/Bar
Housing Development,Services/Place
Ice Cream Shop,Restaurant/Bar
Indian Restaurant,Restaurant/Bar
Indie Movie Theater,Services/Place
Intersection,Services/Place
Irish Pub,Restaurant/Bar
Italian Restaurant,Restaurant/Bar
Japanese Restaurant,Restaurant/Bar
Jazz Club,Restaurant/Bar
Jewelry Store,Store
Juice Bar,Restaurant/Bar
Korean BBQ Restaurant,Restaurant/Bar
Korean Restaurant,Restaurant/Bar
Lake,Services/Place
Latin American Restaurant,Restaurant/Bar
Light Rail Station,Services/Place
Liquor Store,Store
Lounge,Restaurant/Bar
Luggage Store,Store
Martial Arts School,Services/Place
Mediterranean Restaurant,Restaurant/Bar
Mexican Restaurant,Restaurant/Bar
Middle Eastern Restaurant,Restaurant/Bar
Miscellaneous Shop,Store
Mobile Phone Shop,Store
Moroccan Restaurant,Restaurant/Bar
Motel,Services/Place
Movie Theater,Services/Place
Moving Target,Services/Place
Museum,Services/Place
Music Venue,Services/Place
Neighborhood,Services/Place
New American Restaurant,Restaurant/Bar
Noodle House,Restaurant/Bar
Opera House,Services/Place
Organic Grocery,Store
Other Great Outdoors,Services/Place
Park,Services/Place
Pastry Shop,Store
Performing Arts Venue,Services/Place
Pet Store,Store
Pharmacy,Store
Pizza Place,Restaurant/Bar
Playground,Services/Place
Plaza,Services/Place
Polish Restaurant,Restaurant/Bar
Pool,Services/Place
Portuguese Restaurant,Restaurant/Bar
Pub,Restaurant/Bar
Ramen Restaurant,Restaurant/Bar
Record Shop,Store
Restaurant,Restaurant/Bar
Salad Place,Restaurant/Bar
Salon / Barbershop,Services/Place
Sandwich Place,Restaurant/Bar
Seafood Restaurant,Restaurant/Bar
Shopping Mall,Services/Place
Shopping Plaza,Services/Place
Smoothie Shop,Restaurant/Bar
Social Club,Services/Place
Soup Place,Restaurant/Bar
Spa,Services/Place
Sporting Goods Shop,Store
Sports Bar,Restaurant/Bar
Steakhouse,Restaurant/Bar
Supermarket,Store
Supplement Shop,Store
Sushi Restaurant,Restaurant/Bar
Taco Place,Restaurant/Bar
Tailor Shop,Store
Tea Room,Restaurant/Bar
Tennis Court,Services/Place
Thai Restaurant,Restaurant/Bar
Theater,Services/Place
Theme Restaurant,Restaurant/Bar
Thrift / Vintage Store,Store
Tibetan Restaurant,Restaurant/Bar
Toy / Game Store,Store
Trail,Services/Place
Vegetarian / Vegan Restaurant,Restaurant/Bar
Video Game Store,Store
Vietnamese Restaurant,Restaurant/Bar
Warehouse Store,Store
Wine Bar,Restaurant/Bar
Wine Shop,Store
Wings Joint,Store
Women's Store,Store
Yoga Studio,Services/Place
